conversation_id,title,total_messages,user_messages,assistant_messages,user_assistant_ratio,duration_minutes,active_days,messages_per_hour,avg_user_message_length,median_user_message_length,max_user_message_length,avg_user_words,total_user_words,first_hour,first_day,first_month,first_year,peak_user_hour,technical_term_count,primary_intent,primary_intent_score
6835b17f-40fc-8004-a04c-1eb86bb4fb77,Copy GitHub Link Resume,18,9,9,1.0,15.075114716666667,1,71.64124587430032,60.77777777777778,12.0,423,10.333333333333334,93,12,Tuesday,May,2025,12,7,build,3
6835b736-07c0-8004-84fd-e0cdf4e9b9e3,Education Details Summary,20,10,10,1.0,16.143247433333332,1,74.33448597970343,90.5,32.0,539,13.4,134,12,Tuesday,May,2025,13,21,build,3
6836a46f-e138-8004-88f4-a95d88561f35,NVD CPE API Design,2,1,1,1.0,0.018814066666666667,1,6378.206377497688,0.0,0.0,0,0.0,0,5,Wednesday,May,2025,5,0,other,0
68493691-33d8-8004-b826-e978f53599b2,React Frontend Backend Database,40,20,20,1.0,84.66112591666666,1,28.348311861129268,151.25,50.0,1276,15.95,319,7,Wednesday,June,2025,8,6,troubleshoot,7
684ebf5d-2e44-8004-9ac5-fca96fbb28b1,FlashTalk Nerves Solution,23,11,12,0.9166666666666666,30.938698199999997,1,44.60433309375635,56.72727272727273,28.0,185,10.727272727272727,118,12,Sunday,June,2025,12,0,other,0
684ec6b2-1920-8004-b0a7-fa08e5c07a03,Chocolate Face Mask Tips,6,3,3,1.0,3.5823690499999996,1,100.49215895274666,26.666666666666668,20.0,43,6.333333333333333,19,13,Sunday,June,2025,13,1,other,0
684ee81c-3bb4-8004-894c-7ac6fa07bfe9,Full Stack Roadmap,95,44,51,0.8627450980392157,95.29581493333333,1,59.81374947039997,553.8409090909091,372.0,2324,37.22727272727273,1638,15,Sunday,June,2025,16,69,troubleshoot,38
68543705-7524-8004-ab7b-10aa014f57ac,Backtracking in Rat Maze,9,4,5,0.8,32.52341826666667,1,16.603420820419956,176.25,192.0,274,50.5,202,16,Thursday,June,2025,16,1,learn,1
68944e80-a1f4-8326-9c15-1f4725045c25,Student guidance plan,51,25,26,0.9615384615384616,37.166994833333334,1,82.33111161453466,93.44,45.0,947,16.12,403,7,Thursday,August,2025,7,4,planning,4
68a9e2a9-b19c-8328-8256-444a4d24f0af,Fake news detection model,32,16,16,1.0,72.08263825,1,26.636094996148397,24.5625,13.5,124,3.5625,57,15,Saturday,August,2025,16,1,learn,1
68d3db8b-2e4c-8327-a57b-3b5635b037d5,Explain PDF tasks,16,8,8,1.0,13.293423533333334,1,72.21615993749049,11.0,6.5,44,2.75,22,11,Wednesday,September,2025,12,2,learn,2
68d3e227-4c64-832a-82c0-912dcda7e97b,Set margins in doc,4,2,2,1.0,1.5991052000000001,1,150.08393444033572,100.5,100.5,180,17.5,35,12,Wednesday,September,2025,12,0,build,1
68f71fde-79a8-8324-abf3-24ab6aa5b0f9,Suggest final year project,23,10,13,0.7692307692307693,87.11229326666667,1,15.841621753379485,1503.6,30.5,14772,217.1,2171,5,Tuesday,October,2025,6,49,learn,15
6905dceb-7e14-8321-988d-b09b1942d2a0,Online duplicate marksheet process,17,8,9,0.8888888888888888,120.52558513333334,1,8.462933400170668,34.125,13.0,123,6.625,53,10,Saturday,November,2025,10,1,other,0
