conversation_id,title,topic,topic_score
6835b17f-40fc-8004-a04c-1eb86bb4fb77,Copy GitHub Link Resume,Programming / Development,30
6835b736-07c0-8004-84fd-e0cdf4e9b9e3,Education Details Summary,Programming / Development,50
6836a46f-e138-8004-88f4-a95d88561f35,NVD CPE API Design,Programming / Development,5
68493691-33d8-8004-b826-e978f53599b2,React Frontend Backend Database,Programming / Development,141
684ebf5d-2e44-8004-9ac5-fca96fbb28b1,FlashTalk Nerves Solution,Other,0
684ec6b2-1920-8004-b0a7-fa08e5c07a03,Chocolate Face Mask Tips,Other,0
684ee81c-3bb4-8004-894c-7ac6fa07bfe9,Full Stack Roadmap,Programming / Development,684
68543705-7524-8004-ab7b-10aa014f57ac,Backtracking in Rat Maze,Other,0
68944e80-a1f4-8326-9c15-1f4725045c25,Student guidance plan,Productivity / Planning,25
68a9e2a9-b19c-8328-8256-444a4d24f0af,Fake news detection model,Career / Jobs,9
68d3db8b-2e4c-8327-a57b-3b5635b037d5,Explain PDF tasks,Productivity / Planning,4
68d3e227-4c64-832a-82c0-912dcda7e97b,Set margins in doc,Other,0
68f71fde-79a8-8324-abf3-24ab6aa5b0f9,Suggest final year project,Productivity / Planning,61
6905dceb-7e14-8321-988d-b09b1942d2a0,Online duplicate marksheet process,Other,0
691b0f5a-fa04-8320-af2f-472835e63dc6,Professional description write,Programming / Development,133
691c04c4-a754-832b-aa22-554a30c9384e,Python 3 code,Programming / Development,21
691c6e8a-bb88-8324-ab2e-7edc28529cfa,Trip description prompt,Other,0
6921991e-d54c-8320-96cf-29f1cbc3a0cb,Movie emotional impact,Content / Personal Branding,2
69288364-ae94-8324-a8df-d500d4d5ba5f,Railway exam details,Learning / Education,10
6928876c-6210-8321-bc0a-31ce4cdfaefe,Session reminder request,Productivity / Planning,7
692a871f-36f0-8320-a22d-18e02fb57a26,Fill form details,Other,0
692a921c-2600-8321-ae1d-a2e3a4e29883,Email draft for upload issue,Other,0
692d8b87-474c-8326-a0ca-5f479cd50d8a,Colab notebook access help,Programming / Development,310
692d9813-fe20-8323-8683-10cff801b827,Fix librosa warnings,Programming / Development,42
692e7fd4-d38c-8323-8945-93d87812eb72,Accuracy improvement guide,Programming / Development,59
692eeb72-a33c-8323-8817-084ab69dfe21,Simple explanation of error,Programming / Development,80
6931a47b-a30c-8321-937e-70a157b54bb6,Modify code for input,Programming / Development,89
6931b7e6-8604-8323-a793-3dae880879b7,Code update steps,Programming / Development,188
69382131-d750-8320-bc57-115d88d2d28d,Code explanation and logic,Data Analytics,18
693da768-7ed0-8321-9176-990dbc714b64,Engineering simplified,Other,0
69444b1c-65c8-8323-8456-91f586a8982a,Task three guide,Data Analytics,5
6944577e-17b4-8320-9dd2-1ada874e1b21,Global demand visualization,Data Analytics,58
694e044a-4b8c-8324-8421-cb8831ea984f,PDF Layout Adjustment,Other,0
696fa602-b6dc-8328-88be-50f52c6bc1b1,Tamil Film Character Match,Other,0
697222e5-ca28-8321-8557-ab9b6c541de4,Clarification on Request,Programming / Development,103
6974befb-f3ec-8323-acf0-b5a6191fd794,Murder Mystery Kaveri House,Other,0
6974bf7b-4738-83a1-aa23-1af962ea4a6f,Data Analytics Project Ideas,Data Analytics,5
6974c0e7-9dc0-8324-a217-5779dbd4d24a,Branch · Data Analytics Project Ideas,Programming / Development,30
6975c08f-3820-8323-a6d8-52f774717aa4,Two Finger Whistling,Other,0
6976f713-c210-8324-bb3d-278c498c9455,Python AttributeError Fix,Programming / Development,31
6976f8e5-0d2c-8322-bf4e-9bca6a59d4a8,Fixing AttributeError in Code,Programming / Development,138
6976fefd-f620-8321-8129-adaae0fcd43f,Recovering Old Code,Programming / Development,8
6976ff9c-1488-8322-9912-2f6f9e2ac002,Code Upload Instructions,Programming / Development,13
6977024e-4e48-8323-9911-98a70d672747,Whisper Module Installation Error,AI / Machine Learning,30
69770f41-469c-8322-b707-bb8c120e245f,Alternatives to Streamlit in Colab,Programming / Development,2
697725d3-021c-8320-9910-10c870e78119,Cluttered Audio Video Datasets,Data Analytics,4
69772c82-7670-8323-8478-4164251c0e7e,Gradio audio file error,Programming / Development,2
69830638-1c5c-8323-9814-0da14173ec2d,PDF Analysis Assistance,Content / Personal Branding,4
698341ae-c330-8320-9673-c0e03744dcaa,Publication Paper Content,Content / Personal Branding,4
6986c1f4-a618-8322-9c2d-e804980e6e80,Data Analytics Project Ideas,Data Analytics,21
6986c944-0e9c-8322-b51b-1ec7e9e74d87,DSA Concepts Explained Simply,Learning / Education,14
6986cf21-b210-8321-9156-dd4226dc3931,Resume Bullet Points,Data Analytics,7
69870497-a1c8-8322-9fc0-1e1d10e49672,Murder Mystery Challenge,Productivity / Planning,5
6987326d-d1d4-8324-afef-550972b9f8c1,Book Cover Design,Other,0
698734c0-b4a0-83a8-95da-0a8f0cabe0cb,Poster Design Request,Content / Personal Branding,9
69873ae6-5f80-8320-897a-2aaf61e04a48,Branch · Poster Design Request,Content / Personal Branding,9
698ac077-04e8-8323-9a3a-d29bbb8f143c,Java Syntax Overview,Programming / Development,2
6994131e-01dc-8320-8782-904a117dc679,Small Business Ideas,Learning / Education,8
69a16d15-5370-8321-947c-811fe092557f,Streamlit Web App in Colab,Other,0
69a5b009-bf40-8320-9c11-cba7367841c2,Running Python in Colab,Programming / Development,59
69a5ce7f-a500-8321-ba62-616fcd1ce4b8,Whisper Module Error Fix,AI / Machine Learning,15
69a5ceec-7258-8323-a75a-52ef689131a5,Whisper Module Installation,AI / Machine Learning,15
69a5d0e4-7c10-8324-afa9-ed17bccb995d,ModuleNotFoundError Fix,Programming / Development,190
69a92b47-95b0-8324-b174-307ee4b212d6,Secondary Subject Area Suggestions,Other,0
69ad3297-36ac-8321-acb7-a84427323898,Troubleshooting for Service Desk,Learning / Education,36
69ad45a7-0dc4-8322-8bfe-262516c4a230,Change Registered Owner Name,Other,0
69aee890-840c-8323-b595-4f127ad7ebf8,Self Introduction Project Explanation,Productivity / Planning,4
69aee8be-4310-8324-b710-2a352c5c1db4,What is an OS,Other,0
69aeea3b-edb4-8322-9c05-ddd20f892069,IT Support Concepts,Learning / Education,5
69b16696-74a4-8321-b7ea-4c9787952a2a,Resume Improvement Tips,Career / Jobs,63
69b16ad9-6774-8321-a216-039e8155afc7,Change Canva Template Fast,Career / Jobs,5
69b170b0-9c7c-8323-ae91-7bc7b2516071,GitHub in Resume,Programming / Development,10
69b2c1de-426c-83a6-b761-50964dcf5038,Adobe Express Premium Ideas,Other,0
69b2c497-30a0-8321-be80-82b0aa94b1cd,Anonymous Page Ideas,Other,0
69b81c44-6800-8323-b2a9-f3c864b538d3,Google Scholar IEEE Scopus,Career / Jobs,2
69b91478-2618-8322-af95-7b1dc95cc7cb,Notice Period Explanation,Career / Jobs,22
69c211a7-bfe0-83a8-b42e-d20ee7500371,Find Accepted Paper ID,Other,0
69c68d2c-0dc0-83e8-8766-6f274220cf63,Tech Support Resume Tips,Programming / Development,96
69ca811d-03b4-83e8-a63e-87c49e4542a8,Instruction clarification request,Programming / Development,748
69cf2534-6e9c-83e8-b71c-cf1433242240,Co-author Details Formatting,Content / Personal Branding,2
69cf3106-cc00-83e8-bc39-75ef121cb8a1,PPT Content Creation,Content / Personal Branding,7
69d0be95-2d9c-83e8-a7e9-47b88cc29b23,Life Path Analysis,Programming / Development,2
69d659ab-1f58-83e8-b99d-4c07ca6cd662,Winget FFmpeg Installation Help,Programming / Development,953
69d672d4-53cc-83e8-8322-f7b5a4c4755e,WAV Clarification Request,Data Analytics,2
69d67955-2d04-83e8-8f3e-5ec1782db5ac,Project Final Review Prep,Other,0
69d702eb-1f50-8322-b508-009ce4327769,ML Classifier Explanation,AI / Machine Learning,14
69d72e2c-9370-8324-91f8-669c59d2241f,Intellectual Disability Overview,Other,0
69d7e042-87c0-83e8-9dd5-de2f4d363bc5,Video Clarity Improvement,Content / Personal Branding,4
69d89589-9380-83e8-93c4-d49f74901546,Graduation with Paws,Content / Personal Branding,2
69d9cb50-ae54-83e8-833c-eeb705f61651,Worth Buying Verdict,AI / Machine Learning,5
69d9d13a-5150-83e8-8e72-446d6f916ebb,Tablet options under ₹2000,Other,0
69da618c-bf04-83e8-9333-eb8786362bdb,Instagram Login Check,Content / Personal Branding,2
69db064e-cac0-83e8-ac8a-bf41efd9da33,4x6 Photo Poster Printing,Content / Personal Branding,8
69dc7801-20e0-83e8-8bd9-a29beef51e21,Best tablet under ₹5000,AI / Machine Learning,5
69dddef8-7228-83e8-9166-a726602a72b9,Echo Show 5 Review,Other,0
69de04fa-4cbc-83e8-ba17-ba2e1e84b9cb,4x6 Poster Placement Tips,Content / Personal Branding,8
69de299a-59dc-83e8-abec-b911bb9c5000,Study Photography Basics,Learning / Education,9
69de2c0f-45cc-83e8-b938-f47872e3111a,Weight Loss Plan,Productivity / Planning,23
69df52d5-823c-83e8-9323-5b4db6182e2d,Job Posting Assistance,Data Analytics,5
69e0f51f-bda8-83e8-9005-0743ac3b6d6a,Shy Romantic Song Captions,Content / Personal Branding,6
69e225b2-0fc8-83e8-9b04-629c8b58780a,Find Jio Number,Other,0
69e22cde-2304-83e8-ab5a-256f4f580697,Jio SIM in Tablet,Other,0
69e2309f-14a8-83e8-a22c-689ae5498c2b,Jio SIM Activation Issues,Other,0
69e23552-4fdc-83e8-8eb1-6e2889c4c55f,Redmi Pad 2 Details,Other,0
69e3063e-4ba0-83e8-b835-3f010c8e35ea,Central Government Jobs Guide,Career / Jobs,4
69e309da-f7cc-83e8-bd9f-928e64524f14,Stenographer Role and Exams,Productivity / Planning,9
69e313ba-0ee4-83e8-a3ad-471b333d52d5,SSC Phase-XIV Exam Details,Learning / Education,2
69e480e6-ca10-83e8-96e4-3d7e83f44ab8,Chocolate Milkshake Recipe,Other,0
69e87366-bf48-83e8-8167-18fcb8487c08,Nighttime Flash Photography,Other,0
69e873e3-68d8-83e8-a308-373c022495b6,Email Response to Complaint,Other,0
69e876f9-600c-83e8-be66-0ad9c635624f,Poster Display Ideas,Content / Personal Branding,6
69e9917d-01bc-83e8-b823-b7a978223e11,Voting Caption Ideas,Content / Personal Branding,7
69eb0f0b-1234-83e8-b794-26acff131e68,Caption suggestions for post,Content / Personal Branding,4
69eeebb4-e284-83e8-b873-35f00a029a3b,Resume Project Entry,AI / Machine Learning,57
69f03d1a-c9ac-83e8-955d-e61f258ef5df,AI&DS Application Follow-up,Career / Jobs,4
69f041a0-c874-83e8-bf31-1d7dd7bcb59a,SSC CGL Prep Guide,Career / Jobs,5
69f1fae5-f140-83e8-9e07-b495a2a1ba39,Image Generation Prompt,Other,0
69f1fb4c-d1c0-83e8-b092-0ce59c436844,AI Image Prompt Creation,Productivity / Planning,2
69f5668c-3248-83e8-b50c-81dd3d48c7f5,Skin Glow Routine,Productivity / Planning,16
69f569e3-29ec-83e8-8c4a-fbcf0f352d26,Personalized Daily Plan,Productivity / Planning,9
69f58a63-711c-83e8-a40b-9abefb997ec8,Sock size guide,Learning / Education,2
69f72315-0fa8-83e8-ad93-bf2d4044d57b,Track Steps and Cycling,Other,0
69f826d5-7434-83e8-9ddd-f9a45b5aa4f4,Using Fresh Mehndi Leaves,Other,0
69f987c6-faec-83e8-9880-8c62fe949f17,Phone Comparison Advice,Other,0
69f9e809-1764-83e8-a688-157a1bdcff20,Photography Beginner Tips,Productivity / Planning,9
69f9ecd0-e510-83e8-b564-3f7f5e11b345,Faceless Content Ideas,Content / Personal Branding,15
69fb3b21-c6d0-83e8-8d44-79363b252ef9,Caption Suggestions,Content / Personal Branding,4
69fec9e5-7e10-83e9-86a1-b07cc814cb65,Hotspot Data Consumption Issues,Other,0
69ffec63-2b88-83ec-b178-c6e8d4437548,Short Hair Captions,Content / Personal Branding,4
6a015e84-5f6c-83e9-8c42-51c8c54dd5a8,Commerce with Business Maths Degrees,Business / Marketing,24
6a0412d4-e994-83e9-9f38-19b2eb5bc650,Content Creator Bio Ideas,Content / Personal Branding,83
6a042726-1eb0-83e9-9d87-541b0bc2986a,Insert button battery,Other,0
6a044766-5808-83e9-ad71-c195c8c7bae6,Legit Online Typing Jobs,Career / Jobs,6
6a05c9c9-57c0-83e8-99d4-7c66aa9232c5,Best camera multitasking phone,Productivity / Planning,2
6a06abfb-bcd0-83e8-a27d-93851695fe18,CECC Acronym Meaning,Learning / Education,4
6a07ed91-9908-83e8-9157-4637971dd1e0,Best Camera Mobiles 2026,Other,0
6a09490e-6694-83ec-b908-6eb6b34ad665,Infosys Test Error Fix,Programming / Development,6
6a094d1b-ed18-83e8-b2a9-50eeab723a58,Python meeting scheduler,Programming / Development,18
6a0a6d18-b1d8-83ec-9931-c88004a574ee,Samsung 4C Error Fix,Programming / Development,2
6a0c7111-9ed8-83ec-a0b0-569c3594fe8a,Language Learning for Growth,Content / Personal Branding,9
6a0c7c10-ddc4-83ec-b96b-e56ad6682f0f,TCS NQT Test Prep,Programming / Development,10
6a0fdf4d-60fc-83e8-94ce-1a9c0746d649,Double-Sided Card Canva,Content / Personal Branding,2
6a143e70-4208-8322-bb6e-a9e9aa8a281c,Black Screen After Login,Other,0
6a147e27-419c-8323-a91a-ff755df4b5d0,Night Photography Tips,Other,0
6a153ac8-f66c-8323-a886-e6c83e5ad359,Free Digital Marketing Courses,Business / Marketing,18
6a17d638-bf18-8323-85a3-dc7cae7e5c2f,Nexellence RPO Overview,Career / Jobs,2
6a17da65-e764-83a9-8fe7-30d0d39c6f5e,AI/ML Experience Guidance,Other,0
6a1d2a85-a92c-8320-83da-f187626a9b08,Eye Scratch and Dark Circles,Other,0
6a207d63-e3e8-8323-94e2-d1abb5e59e01,Redmi 10 IR Issue,Other,0
6a212f26-b70c-8323-92e8-ab53bf5f7823,Fresher Developer Role Chennai,Career / Jobs,24
6a22d6a2-62bc-8322-856b-43499321ce00,Parametric Line Equation,Data Analytics,2
6a22db2e-1e48-8321-adab-52117d3d6df6,Signature in SSC Format,Other,0
6a22debc-6240-8322-a3ef-1d9af5ea0e13,CGPA to Percentage Conversion,Other,0
6a23f1d0-44e0-8324-8816-013e7da3d213,Ice for Skin and Weight,Business / Marketing,4
6a2565db-81d4-8324-b54e-6505c43c76b6,Poster Arrangement Tips,Content / Personal Branding,8
6a26c426-c13c-8324-958f-d71ea247d05e,Teaching Basics for Weak Students,Learning / Education,6
6a28f6bb-0848-8321-aec9-0f0bb79812b9,Teaching After Alphabets,Other,0
6a2a3ace-ce94-8323-8b16-63ae175043d5,Vowel Fill-in Questions,Other,0
6a2fd8d1-1404-83ee-b614-3b80049be30b,Homework Reminder Template,Productivity / Planning,7
6a33c59f-c138-83e8-8531-ac6a30671731,School Uniform Notice,Learning / Education,6
6a361347-99ac-83ee-a917-6c999b10ba90,LinkedIn Profile Review,Career / Jobs,19
6a363311-66f4-83ee-bcf4-9cf0d8a40101,NATS 2.0 Registration Guide,Learning / Education,2
6a4270d7-7188-83ee-a4fc-e50c55ecb2f6,Buyer Persona Example,Business / Marketing,12
6a4290ed-970c-83e8-b959-6c53f0db45f1,No Response Follow-up Guide,Learning / Education,2
6a4915bd-8c50-83ee-8808-a7081c053e75,Resume Editing Request,Career / Jobs,15
6a491bcd-c7e8-83e8-b2ce-f0e62d891f65,Alignment Verification Tips,Other,0
6a4fc6d0-f8e0-83ee-9eb5-cbc934f5bf68,Reg future plans,Productivity / Planning,2
6a54709e-654c-83e8-9353-4b4b0b7b341c,Kamarajar Speech Ideas,Other,0
6a5788f9-aaa0-83ee-b1b4-d8706e87148e,Introduce Yourself Response,Other,0
6a58d6fa-3e58-83e8-9f88-07fd19d210d2,IINVSYS Interview Preparation,Career / Jobs,16
6a58d7e6-aed8-83ee-bd59-46d8915e59cf,Interview Project Explanation,AI / Machine Learning,10
6a58f719-2128-83ee-8060-e056fdc3edba,Python Interview Guide,Programming / Development,20
6a599c02-a8e0-83ee-868f-021d5e41ad01,Interview Project Explanation,Programming / Development,22
6a5a24e4-07ec-83ee-bf41-34c63c88765f,Data Analysis Process,Data Analytics,21
6a5a2660-a458-83ee-adaf-3d3e16f8a86f,Market Analysis Overview,Business / Marketing,14
6a5a2828-fe14-83e8-a7d5-291b379f129a,Instagram Comment-to-DM Automation,Content / Personal Branding,2
6a5a2849-a8e8-83e8-89fd-eceaca26fa9b,Digital Marketing Analytics Process,Business / Marketing,27
6a5b1c3b-a700-83ee-850b-7334bf3e2813,Tech for Data Analysis,Data Analytics,7
6a5b24ed-90b8-83ee-b521-52742f25d31d,Create Claude Desktop Shortcut,Other,0
6a5b2b3a-0430-83ee-90cf-c5d45a8d5d2a,AB Testing Analysis,Data Analytics,5
6a5b7c13-0934-83ee-b9dd-caa13b9a8b5f,Congratulations Message Draft,Other,0
6a5e1463-4158-83e8-b482-69ee464d39f7,Understanding banger meaning,Other,0
6a5e1482-eb58-83ee-ad18-74026ba95e7c,Meaning of Mass,Other,0
6a5efdde-ef60-83e8-a9ff-0e11d357e304,Math Fundamentals 5s 10s 100s,Content / Personal Branding,4
6a5f00e9-043c-83e8-83ef-0fdfb317c313,Kuyili Independence Day Speech,Content / Personal Branding,2
6a5f7190-18f4-83e8-9882-4c396763b73a,Using Claude for Data Analysis,Data Analytics,19
6a61da6b-fb28-83e8-a5d9-edfb0b877658,Teaching English Speaking,Other,0
6a62f1fc-746c-83ee-a47b-8a0896a5693d,Job Referral Request Message,Career / Jobs,11
6a631e6a-4180-83ee-9563-fb3555ec34c5,Job Offer Acceptance Email,Career / Jobs,19
6a646530-8a60-83ee-b9fe-a10563a241b9,Moto G Camera Quality,Content / Personal Branding,4
6a64667d-0088-83ee-8d72-5afa806d48c1,Phone Slow Fix,Other,0
6a649860-4dd8-83e8-b3dc-466e47b3c734,Royal Blue Personality,Other,0
6a65fa9e-4d60-83e8-aab2-9c25f094f23b,Noise ALT Buds (S) Review,Other,0
6a6891b1-55f8-83e8-be16-045ed848efc6,Online shopping price check,Other,0
6a68b617-4324-83ee-9e61-bd170a171961,Freight Shipping Update,Other,0
6a68b622-19e4-83ee-96ba-3ce896e0d1e8,Explain Request Clarification,Other,0
6a6c02d1-03d0-83ee-a320-3cc6202ca1f4,Grammar Correction Clarification,Other,0
6a6ec93e-6ba8-83ee-9634-7a8ba432aac3,Greedy Solution for Rocks,Programming / Development,30
6a70224f-8540-83e8-b64c-2194133eceff,Digicherry Overview,Data Analytics,22
