conversation_id,title,topic,score,second_topic,second_score,confidence
6835b17f-40fc-8004-a04c-1eb86bb4fb77,Copy GitHub Link Resume,Programming / Development,26,Data Analytics,12,55.32
6835b736-07c0-8004-84fd-e0cdf4e9b9e3,Education Details Summary,Programming / Development,22,Data Analytics,16,35.48
6836a46f-e138-8004-88f4-a95d88561f35,NVD CPE API Design,Programming / Development,6,Content / Personal Branding,6,50.0
68493691-33d8-8004-b826-e978f53599b2,React Frontend Backend Database,Programming / Development,86,AI / Machine Learning,0,100.0
684ebf5d-2e44-8004-9ac5-fca96fbb28b1,FlashTalk Nerves Solution,Other,2,AI / Machine Learning,0,0.0
684ec6b2-1920-8004-b0a7-fa08e5c07a03,Chocolate Face Mask Tips,Other,0,Data Analytics,0,0.0
684ee81c-3bb4-8004-894c-7ac6fa07bfe9,Full Stack Roadmap,Programming / Development,376,Productivity / Planning,7,96.91
68543705-7524-8004-ab7b-10aa014f57ac,Backtracking in Rat Maze,Other,1,AI / Machine Learning,0,0.0
68944e80-a1f4-8326-9c15-1f4725045c25,Student guidance plan,Learning / Education,9,Productivity / Planning,9,47.37
68a9e2a9-b19c-8328-8256-444a4d24f0af,Fake news detection model,Other,1,Career / Jobs,1,0.0
68d3db8b-2e4c-8327-a57b-3b5635b037d5,Explain PDF tasks,Learning / Education,8,AI / Machine Learning,0,100.0
68d3e227-4c64-832a-82c0-912dcda7e97b,Set margins in doc,Other,0,Data Analytics,0,0.0
68f71fde-79a8-8324-abf3-24ab6aa5b0f9,Suggest final year project,AI / Machine Learning,34,Data Analytics,8,51.52
6905dceb-7e14-8321-988d-b09b1942d2a0,Online duplicate marksheet process,Other,1,AI / Machine Learning,0,0.0
691b0f5a-fa04-8320-af2f-472835e63dc6,Professional description write,Programming / Development,47,Data Analytics,36,37.01
691c04c4-a754-832b-aa22-554a30c9384e,Python 3 code,Programming / Development,16,AI / Machine Learning,0,100.0
691c6e8a-bb88-8324-ab2e-7edc28529cfa,Trip description prompt,Programming / Development,5,AI / Machine Learning,0,100.0
6921991e-d54c-8320-96cf-29f1cbc3a0cb,Movie emotional impact,Other,1,AI / Machine Learning,0,0.0
69288364-ae94-8324-a8df-d500d4d5ba5f,Railway exam details,Learning / Education,11,AI / Machine Learning,0,100.0
6928876c-6210-8321-bc0a-31ce4cdfaefe,Session reminder request,Productivity / Planning,6,AI / Machine Learning,0,100.0
692a871f-36f0-8320-a22d-18e02fb57a26,Fill form details,Other,0,Data Analytics,0,0.0
692a921c-2600-8321-ae1d-a2e3a4e29883,Email draft for upload issue,Other,0,Data Analytics,0,0.0
692d8b87-474c-8326-a0ca-5f479cd50d8a,Colab notebook access help,AI / Machine Learning,35,Programming / Development,33,36.08
692d9813-fe20-8323-8683-10cff801b827,Fix librosa warnings,AI / Machine Learning,12,Programming / Development,6,66.67
692e7fd4-d38c-8323-8945-93d87812eb72,Accuracy improvement guide,Data Analytics,11,AI / Machine Learning,2,68.75
692eeb72-a33c-8323-8817-084ab69dfe21,Simple explanation of error,Programming / Development,14,AI / Machine Learning,8,36.84
6931a47b-a30c-8321-937e-70a157b54bb6,Modify code for input,AI / Machine Learning,50,Data Analytics,23,47.17
6931b7e6-8604-8323-a793-3dae880879b7,Code update steps,AI / Machine Learning,44,Programming / Development,44,44.0
69382131-d750-8320-bc57-115d88d2d28d,Code explanation and logic,Data Analytics,10,Programming / Development,8,29.41
693da768-7ed0-8321-9176-990dbc714b64,Engineering simplified,Other,0,Data Analytics,0,0.0
69444b1c-65c8-8323-8456-91f586a8982a,Task three guide,Data Analytics,12,Programming / Development,2,85.71
6944577e-17b4-8320-9dd2-1ada874e1b21,Global demand visualization,Data Analytics,55,Business / Marketing,16,61.8
694e044a-4b8c-8324-8421-cb8831ea984f,PDF Layout Adjustment,Other,0,Data Analytics,0,0.0
696fa602-b6dc-8328-88be-50f52c6bc1b1,Tamil Film Character Match,Other,0,Data Analytics,0,0.0
697222e5-ca28-8321-8557-ab9b6c541de4,Clarification on Request,AI / Machine Learning,13,Programming / Development,4,72.22
6974befb-f3ec-8323-acf0-b5a6191fd794,Murder Mystery Kaveri House,Other,0,Data Analytics,0,0.0
6974bf7b-4738-83a1-aa23-1af962ea4a6f,Data Analytics Project Ideas,Data Analytics,22,Career / Jobs,1,91.67
6974c0e7-9dc0-8324-a217-5779dbd4d24a,Branch · Data Analytics Project Ideas,Data Analytics,27,Programming / Development,16,57.45
6975c08f-3820-8323-a6d8-52f774717aa4,Two Finger Whistling,Other,0,Data Analytics,0,0.0
6976f713-c210-8324-bb3d-278c498c9455,Python AttributeError Fix,Programming / Development,11,AI / Machine Learning,0,100.0
6976f8e5-0d2c-8322-bf4e-9bca6a59d4a8,Fixing AttributeError in Code,AI / Machine Learning,36,Programming / Development,23,48.65
6976fefd-f620-8321-8129-adaae0fcd43f,Recovering Old Code,Programming / Development,9,AI / Machine Learning,0,100.0
6976ff9c-1488-8322-9912-2f6f9e2ac002,Code Upload Instructions,Programming / Development,7,Data Analytics,2,63.64
6977024e-4e48-8323-9911-98a70d672747,Whisper Module Installation Error,AI / Machine Learning,20,Programming / Development,13,60.61
69770f41-469c-8322-b707-bb8c120e245f,Alternatives to Streamlit in Colab,Programming / Development,24,AI / Machine Learning,0,100.0
697725d3-021c-8320-9910-10c870e78119,Cluttered Audio Video Datasets,Content / Personal Branding,7,Data Analytics,6,53.85
69772c82-7670-8323-8478-4164251c0e7e,Gradio audio file error,Programming / Development,6,AI / Machine Learning,0,100.0
69830638-1c5c-8323-9814-0da14173ec2d,PDF Analysis Assistance,Other,2,AI / Machine Learning,0,0.0
698341ae-c330-8320-9673-c0e03744dcaa,Publication Paper Content,Content / Personal Branding,7,AI / Machine Learning,0,100.0
6986c1f4-a618-8322-9c2d-e804980e6e80,Data Analytics Project Ideas,Data Analytics,56,Programming / Development,12,82.35
